Getting Better	Getting Worse	Undecided	Staying the Same	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
36.0	60.0			gallup-5731	Gallup	2009-07-25	2009-07-27	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	47.0	6.0	21.0	rasmussen-5729	Rasmussen	2009-07-25	2009-07-27	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	60.0			gallup-5726	Gallup	2009-07-24	2009-07-26	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
28.0	46.0	6.0	20.0	rasmussen-5724	Rasmussen	2009-07-24	2009-07-26	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	59.0			gallup-5723	Gallup	2009-07-23	2009-07-25	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
28.0	46.0	5.0	20.0	rasmussen-5722	Rasmussen	2009-07-23	2009-07-25	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	60.0			gallup-5721	Gallup	2009-07-22	2009-07-24	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	51.0	6.0	18.0	rasmussen-5719	Rasmussen	2009-07-22	2009-07-24	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
34.0	60.0			gallup-5709	Gallup	2009-07-21	2009-07-23	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	52.0	6.0	17.0	rasmussen-5706	Rasmussen	2009-07-21	2009-07-23	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
34.0	61.0			gallup-5699	Gallup	2009-07-20	2009-07-22	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	54.0	7.0	16.0	rasmussen-5698	Rasmussen	2009-07-20	2009-07-22	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	62.0			gallup-5694	Gallup	2009-07-19	2009-07-21	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
23.0	52.0	7.0	18.0	rasmussen-5689	Rasmussen	2009-07-19	2009-07-21	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	63.0			gallup-5674	Gallup	2009-07-18	2009-07-20	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
23.0	53.0	6.0	18.0	rasmussen-5669	Rasmussen	2009-07-18	2009-07-20	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
26.0	38.0	5.0	31.0	arg-5693	ARG	2009-07-17	2009-07-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
32.0	63.0			gallup-5651	Gallup	2009-07-17	2009-07-19	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
20.0	54.0	6.0	20.0	rasmussen-5648	Rasmussen	2009-07-17	2009-07-19	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
22.0	54.0	6.0	18.0	rasmussen-5646	Rasmussen	2009-07-16	2009-07-18	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	62.0			gallup-5645	Gallup	2009-07-16	2009-07-18	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	62.0			gallup-5644	Gallup	2009-07-15	2009-07-17	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
22.0	54.0	6.0	17.0	rasmussen-5643	Rasmussen	2009-07-15	2009-07-17	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	62.0			gallup-5639	Gallup	2009-07-14	2009-07-16	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	53.0	6.0	17.0	rasmussen-5637	Rasmussen	2009-07-14	2009-07-16	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
30.0	65.0			gallup-5619	Gallup	2009-07-13	2009-07-15	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
22.0	53.0	6.0	20.0	rasmussen-5615	Rasmussen	2009-07-13	2009-07-15	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
17.0	39.0	8.0	36.0	yougov-economist-5611	YouGov/Economist	2009-07-12	2009-07-14		Adults	1000	4.9	Internet	Nonpartisan	None
31.0	64.0			gallup-5610	Gallup	2009-07-12	2009-07-14	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	50.0	5.0	21.0	rasmussen-5609	Rasmussen	2009-07-12	2009-07-14	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	62.0			gallup-5607	Gallup	2009-07-11	2009-07-13	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
23.0	50.0	5.0	21.0	rasmussen-5604	Rasmussen	2009-07-11	2009-07-13	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
31.0	63.0			gallup-5590	Gallup	2009-07-10	2009-07-12	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	51.0	4.0	21.0	rasmussen-5589	Rasmussen	2009-07-10	2009-07-12	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
21.0	33.0	1.0	45.0	cbs-news-5602	CBS News	2009-07-09	2009-07-12	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	944	3.0	Live Phone	Nonpartisan	None
25.0	39.0	1.0	35.0	abc-news-5827	ABC News	2009-07-01	2009-07-12		Adults	500	4.5	Live Phone	Nonpartisan	None
25.0	53.0	4.0	18.0	rasmussen-5588	Rasmussen	2009-07-09	2009-07-11	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
30.0	63.0			gallup-5587	Gallup	2009-07-09	2009-07-11	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
22.0	57.0	3.0	17.0	rasmussen-5585	Rasmussen	2009-07-08	2009-07-10	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
30.0	63.0			gallup-5584	Gallup	2009-07-08	2009-07-10	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	61.0			gallup-5583	Gallup	2009-07-07	2009-07-09	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
21.0	58.0	4.0	17.0	rasmussen-5580	Rasmussen	2009-07-07	2009-07-09	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	61.0			gallup-5576	Gallup	2009-07-06	2009-07-08	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
21.0	56.0	5.0	18.0	rasmussen-5575	Rasmussen	2009-07-06	2009-07-08	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	61.0	2.0	4.0	gallup-5570	Gallup	2009-07-05	2009-07-07	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
17.0	43.0	6.0	34.0	yougov-economist-5569	YouGov/Economist	2009-07-05	2009-07-07		Adults	1000	4.9	Internet	Nonpartisan	None
24.0	52.0	5.0	19.0	rasmussen-5566	Rasmussen	2009-07-05	2009-07-07	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	61.0	2.0	4.0	gallup-5563	Gallup	2009-07-03	2009-07-06	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	49.0	5.0	19.0	rasmussen-5562	Rasmussen	2009-07-01	2009-07-06	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	60.0	2.0	4.0	gallup-5558	Gallup	2009-07-02	2009-07-05	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
28.0	50.0	6.0	17.0	rasmussen-5550	Rasmussen	2009-06-30	2009-07-05	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	60.0	2.0	3.0	gallup-5553	Gallup	2009-07-01	2009-07-03	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
36.0	59.0	2.0	3.0	gallup-5551	Gallup	2009-06-30	2009-07-02	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
35.0	59.0	2.0	4.0	gallup-5549	Gallup	2009-06-29	2009-07-01	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	49.0	6.0	16.0	rasmussen-5545	Rasmussen	2009-06-29	2009-07-01	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	59.0	2.0	4.0	gallup-5542	Gallup	2009-06-28	2009-06-30	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	50.0	6.0	17.0	rasmussen-5535	Rasmussen	2009-06-28	2009-06-30	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
34.0	59.0	2.0	4.0	gallup-5530	Gallup	2009-06-27	2009-06-29	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	50.0	5.0	19.0	rasmussen-5527	Rasmussen	2009-06-27	2009-06-29	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
27.0	29.0	1.0	42.0	quinnipiac-5546	Quinnipiac	2009-06-23	2009-06-29		Registered Voters	3063	1.8	Live Phone	Nonpartisan	None
34.0	59.0	2.0	5.0	gallup-5516	Gallup	2009-06-26	2009-06-28	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	49.0	5.0	20.0	rasmussen-5515	Rasmussen	2009-06-26	2009-06-28	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	61.0	2.0	4.0	gallup-5514	Gallup	2009-06-25	2009-06-27	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	49.0	6.0	19.0	rasmussen-5512	Rasmussen	2009-06-25	2009-06-27	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	62.0	2.0	5.0	gallup-5513	Gallup	2009-06-24	2009-06-26	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	48.0	6.0	21.0	rasmussen-5511	Rasmussen	2009-06-24	2009-06-26	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	61.0	2.0	5.0	gallup-5510	Gallup	2009-06-23	2009-06-25	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	48.0	6.0	20.0	rasmussen-5477	Rasmussen	2009-06-23	2009-06-25	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	60.0	2.0	6.0	gallup-5475	Gallup	2009-06-22	2009-06-24	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	49.0	5.0	21.0	rasmussen-5466	Rasmussen	2009-06-22	2009-06-24	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
24.0	40.0	6.0	30.0	yougov-economist-5528	YouGov/Economist	2009-06-21	2009-06-23		Adults	1000	5.2	Internet	Nonpartisan	None
36.0	56.0	3.0	6.0	gallup-5462	Gallup	2009-06-21	2009-06-23	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	50.0	5.0	20.0	rasmussen-5459	Rasmussen	2009-06-21	2009-06-23	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	59.0	2.0	4.0	gallup-5458	Gallup	2009-06-20	2009-06-22	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	50.0	4.0	20.0	rasmussen-5454	Rasmussen	2009-06-20	2009-06-22	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
26.0	49.0	6.0	19.0	rasmussen-5434	Rasmussen	2009-06-19	2009-06-21	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	44.0	1.0	22.0	arg-5453	ARG	2009-06-18	2009-06-21	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
36.0	59.0	2.0	4.0	gallup-5439	Gallup	2009-06-18	2009-06-21	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	50.0	5.0	20.0	rasmussen-5430	Rasmussen	2009-06-18	2009-06-20	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	63.0	2.0	3.0	gallup-5432	Gallup	2009-06-17	2009-06-20	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	49.0	6.0	19.0	rasmussen-5429	Rasmussen	2009-06-17	2009-06-19	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
31.0	62.0	2.0	5.0	gallup-5417	Gallup	2009-06-16	2009-06-18	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	51.0	6.0	18.0	rasmussen-5415	Rasmussen	2009-06-16	2009-06-18	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	60.0	2.0	4.0	gallup-5410	Gallup	2009-06-15	2009-06-17	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
25.0	51.0	7.0	18.0	rasmussen-5409	Rasmussen	2009-06-15	2009-06-17	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
21.0	41.0	4.0	34.0	yougov-economist-5531	YouGov/Economist	2009-06-14	2009-06-16		Adults	1000	5.2	Internet	Nonpartisan	None
35.0	58.0	3.0	4.0	gallup-5404	Gallup	2009-06-14	2009-06-16	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	50.0	6.0	18.0	rasmussen-5401	Rasmussen	2009-06-14	2009-06-16	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
27.0	25.0	2.0	46.0	cbs-times-5405	CBS/Times	2009-06-12	2009-06-16	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	895	3.0	Live Phone	Nonpartisan	None
38.0	56.0	3.0	3.0	gallup-5399	Gallup	2009-06-13	2009-06-15	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	51.0	6.0	17.0	rasmussen-5394	Rasmussen	2009-06-13	2009-06-15	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
37.0	57.0	3.0	3.0	gallup-5393	Gallup	2009-06-12	2009-06-14	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	51.0	6.0	17.0	rasmussen-5392	Rasmussen	2009-06-12	2009-06-14	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
31.0	38.0	1.0	29.0	abc-news-5471	ABC News	2009-06-03	2009-06-14		Adults	500	4.5	Live Phone	Nonpartisan	None
37.0	57.0	3.0	3.0	gallup-5391	Gallup	2009-06-11	2009-06-13	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	51.0	6.0	17.0	rasmussen-5390	Rasmussen	2009-06-11	2009-06-13	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
37.0	57.0	2.0	4.0	gallup-5389	Gallup	2009-06-10	2009-06-12	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	52.0	6.0	17.0	rasmussen-5388	Rasmussen	2009-06-10	2009-06-12	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
39.0	56.0	2.0	3.0	gallup-5386	Gallup	2009-06-09	2009-06-11	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	51.0	5.0	17.0	rasmussen-5383	Rasmussen	2009-06-09	2009-06-11	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
40.0	42.0	2.0	16.0	fox-5382	FOX	2009-06-09	2009-06-10	Do you think the nation's economy is getting better or getting worse?	Registered Voters	900	3.0	Live Phone	Nonpartisan	None
41.0	54.0	1.0	4.0	gallup-5377	Gallup	2009-06-08	2009-06-10	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	51.0	5.0	18.0	rasmussen-5375	Rasmussen	2009-06-08	2009-06-10	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
22.0	40.0	4.0	34.0	yougov-economist-5398	YouGov/Economist	2009-06-07	2009-06-09		Adults	1000	5.2	Internet	Nonpartisan	None
40.0	54.0	2.0	4.0	gallup-5370	Gallup	2009-06-07	2009-06-09	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
28.0	48.0	5.0	18.0	rasmussen-5368	Rasmussen	2009-06-07	2009-06-09	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	56.0	1.0	5.0	gallup-5364	Gallup	2009-06-06	2009-06-08	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
31.0	46.0	6.0	18.0	rasmussen-5362	Rasmussen	2009-06-06	2009-06-08	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	58.0	2.0	4.0	gallup-5359	Gallup	2009-06-05	2009-06-07	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
31.0	47.0	6.0	16.0	rasmussen-5356	Rasmussen	2009-06-05	2009-06-07	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	58.0	2.0	5.0	gallup-5353	Gallup	2009-06-04	2009-06-06	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	50.0	5.0	15.0	rasmussen-5352	Rasmussen	2009-06-04	2009-06-06	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	59.0	2.0	4.0	gallup-5351	Gallup	2009-06-03	2009-06-05	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	49.0	5.0	17.0	rasmussen-5350	Rasmussen	2009-06-03	2009-06-05	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	58.0	2.0	5.0	gallup-5346	Gallup	2009-06-02	2009-06-04	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
30.0	45.0	6.0	19.0	rasmussen-5344	Rasmussen	2009-06-02	2009-06-04	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
37.0	58.0	2.0	4.0	gallup-5341	Gallup	2009-06-01	2009-06-03	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
31.0	45.0	6.0	18.0	rasmussen-5336	Rasmussen	2009-06-01	2009-06-03	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
23.0	35.0	5.0	37.0	yougov-economist-5355	YouGov/Economist	2009-05-31	2009-06-02		Adults	1000	5.2	Internet	Nonpartisan	None
38.0	57.0	2.0	4.0	gallup-5333	Gallup	2009-05-31	2009-06-02	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	45.0	7.0	19.0	rasmussen-5332	Rasmussen	2009-05-31	2009-06-02	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
39.0	56.0	1.0	4.0	gallup-5330	Gallup	2009-05-30	2009-06-01	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	47.0	6.0	17.0	rasmussen-5327	Rasmussen	2009-05-30	2009-06-01	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	57.0	1.0	4.0	gallup-5321	Gallup	2009-05-29	2009-05-31	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	49.0	6.0	19.0	rasmussen-5320	Rasmussen	2009-05-29	2009-05-31	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
39.0	56.0	2.0	4.0	gallup-5318	Gallup	2009-05-28	2009-05-30	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	49.0	7.0	18.0	rasmussen-5316	Rasmussen	2009-05-28	2009-05-30	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	57.0	3.0	4.0	gallup-5317	Gallup	2009-05-27	2009-05-29	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
26.0	48.0	6.0	20.0	rasmussen-5315	Rasmussen	2009-05-27	2009-05-29	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	55.0	3.0	4.0	gallup-5313	Gallup	2009-05-26	2009-05-28	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	47.0	6.0	20.0	rasmussen-5311	Rasmussen	2009-05-26	2009-05-28	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
29.0	45.0	5.0	19.0	rasmussen-5301	Rasmussen	2009-05-25	2009-05-27	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	57.0	2.0	5.0	gallup-5303	Gallup	2009-05-24	2009-05-27	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	46.0	5.0	20.0	rasmussen-5296	Rasmussen	2009-05-24	2009-05-26	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
34.0	59.0	2.0	5.0	gallup-5298	Gallup	2009-05-23	2009-05-26	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	43.0	5.0	22.0	rasmussen-5288	Rasmussen	2009-05-23	2009-05-25	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
34.0	59.0	1.0	5.0	gallup-5287	Gallup	2009-05-22	2009-05-24	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
27.0	44.0	6.0	23.0	rasmussen-5285	Rasmussen	2009-05-22	2009-05-24	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	59.0	1.0	4.0	gallup-5286	Gallup	2009-05-21	2009-05-23	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
23.0	48.0	4.0	25.0	rasmussen-5284	Rasmussen	2009-05-21	2009-05-23	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
37.0	57.0	1.0	5.0	gallup-5283	Gallup	2009-05-20	2009-05-22	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	49.0	5.0	22.0	rasmussen-5282	Rasmussen	2009-05-20	2009-05-22	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	56.0	2.0	4.0	gallup-5281	Gallup	2009-05-19	2009-05-21	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
24.0	49.0	5.0	22.0	rasmussen-5279	Rasmussen	2009-05-19	2009-05-21	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
38.0	56.0	2.0	4.0	gallup-5273	Gallup	2009-05-18	2009-05-20	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
